region,site,block_ID_original,plot_ID_original,position_ID_original,species,treat_warming,treat_competition,added_focals,block_ID,position_ID,unique_plot_ID,unique_plant_ID
ZAF,lo,5,2,7,eupcla,ambi,bare,wf,05,07,ZAF.lo.ambi.bare.wf.05,ZAF.lo.ambi.bare.wf.05.07
ZAF,lo,5,2,8,budlor,ambi,bare,wf,05,08,ZAF.lo.ambi.bare.wf.05,ZAF.lo.ambi.bare.wf.05.08
ZAF,lo,5,2,9,xervis,ambi,bare,wf,05,09,ZAF.lo.ambi.bare.wf.05,ZAF.lo.ambi.bare.wf.05.09
ZAF,lo,5,2,10,melner,ambi,bare,wf,05,10,ZAF.lo.ambi.bare.wf.05,ZAF.lo.ambi.bare.wf.05.10
ZAF,lo,5,2,11,cotpan,ambi,bare,wf,05,11,ZAF.lo.ambi.bare.wf.05,ZAF.lo.ambi.bare.wf.05.11
ZAF,lo,5,2,12,euppul,ambi,bare,wf,05,12,ZAF.lo.ambi.bare.wf.05,ZAF.lo.ambi.bare.wf.05.12
ZAF,lo,6,1,1,cotorb,ambi,bare,wf,06,01,ZAF.lo.ambi.bare.wf.06,ZAF.lo.ambi.bare.wf.06.01
ZAF,lo,6,1,2,leuser,ambi,bare,wf,06,02,ZAF.lo.ambi.bare.wf.06,ZAF.lo.ambi.bare.wf.06.02
ZAF,lo,6,1,3,watsoc,ambi,bare,wf,06,03,ZAF.lo.ambi.bare.wf.06,ZAF.lo.ambi.bare.wf.06.03
ZAF,lo,6,1,4,arijuc,ambi,bare,wf,06,04,ZAF.lo.ambi.bare.wf.06,ZAF.lo.ambi.bare.wf.06.04
ZAF,lo,6,1,5,knilin,ambi,bare,wf,06,05,ZAF.lo.ambi.bare.wf.06,ZAF.lo.ambi.bare.wf.06.05
ZAF,lo,6,1,6,melner,ambi,bare,wf,06,06,ZAF.lo.ambi.bare.wf.06,ZAF.lo.ambi.bare.wf.06.06
ZAF,lo,6,1,7,budlor,ambi,bare,wf,06,07,ZAF.lo.ambi.bare.wf.06,ZAF.lo.ambi.bare.wf.06.07
ZAF,lo,6,1,8,alomac,ambi,bare,wf,06,08,ZAF.lo.ambi.bare.wf.06,ZAF.lo.ambi.bare.wf.06.08
ZAF,lo,6,1,9,eupcla,ambi,bare,wf,06,09,ZAF.lo.ambi.bare.wf.06,ZAF.lo.ambi.bare.wf.06.09
ZAF,lo,6,1,10, eracap,ambi,bare,wf,06,10,ZAF.lo.ambi.bare.wf.06,ZAF.lo.ambi.bare.wf.06.10
ZAF,lo,6,1,11,Xerophyta,ambi,bare,wf,06,11,ZAF.lo.ambi.bare.wf.06,ZAF.lo.ambi.bare.wf.06.11
ZAF,lo,6,1,12,cotpan,ambi,bare,wf,06,12,ZAF.lo.ambi.bare.wf.06,ZAF.lo.ambi.bare.wf.06.12
ZAF,lo,6,2,1,arijuc,ambi,vege,wf,06,01,ZAF.lo.ambi.vege.wf.06,ZAF.lo.ambi.vege.wf.06.01
ZAF,lo,6,2,2,cotpan,ambi,vege,wf,06,02,ZAF.lo.ambi.vege.wf.06,ZAF.lo.ambi.vege.wf.06.02
ZAF,lo,6,2,3,euppul,ambi,vege,wf,06,03,ZAF.lo.ambi.vege.wf.06,ZAF.lo.ambi.vege.wf.06.03
ZAF,lo,6,2,4,knilin,ambi,vege,wf,06,04,ZAF.lo.ambi.vege.wf.06,ZAF.lo.ambi.vege.wf.06.04
ZAF,lo,6,2,5,Crinum,ambi,vege,wf,06,05,ZAF.lo.ambi.vege.wf.06,ZAF.lo.ambi.vege.wf.06.05
ZAF,lo,6,2,6,melner,ambi,vege,wf,06,06,ZAF.lo.ambi.vege.wf.06,ZAF.lo.ambi.vege.wf.06.06
ZAF,lo,6,2,7,alomac,ambi,vege,wf,06,07,ZAF.lo.ambi.vege.wf.06,ZAF.lo.ambi.vege.wf.06.07
ZAF,lo,6,2,8,budlor,ambi,vege,wf,06,08,ZAF.lo.ambi.vege.wf.06,ZAF.lo.ambi.vege.wf.06.08
ZAF,lo,6,2,9,eracap,ambi,vege,wf,06,09,ZAF.lo.ambi.vege.wf.06,ZAF.lo.ambi.vege.wf.06.09
ZAF,lo,6,2,10,watsoc,ambi,vege,wf,06,10,ZAF.lo.ambi.vege.wf.06,ZAF.lo.ambi.vege.wf.06.10
ZAF,lo,6,2,11,clifnit,ambi,vege,wf,06,11,ZAF.lo.ambi.vege.wf.06,ZAF.lo.ambi.vege.wf.06.11
ZAF,lo,6,2,12,euppul,ambi,vege,wf,06,12,ZAF.lo.ambi.vege.wf.06,ZAF.lo.ambi.vege.wf.06.12
ZAF,lo,7,1,1,cotorb,ambi,bare,wf,07,01,ZAF.lo.ambi.bare.wf.07,ZAF.lo.ambi.bare.wf.07.01
ZAF,lo,7,1,2,budlor,ambi,bare,wf,07,02,ZAF.lo.ambi.bare.wf.07,ZAF.lo.ambi.bare.wf.07.02
ZAF,lo,7,1,3,arijuc,ambi,bare,wf,07,03,ZAF.lo.ambi.bare.wf.07,ZAF.lo.ambi.bare.wf.07.03
ZAF,lo,7,1,4,zervis,ambi,bare,wf,07,04,ZAF.lo.ambi.bare.wf.07,ZAF.lo.ambi.bare.wf.07.04
ZAF,lo,7,1,5,cotpan ,ambi,bare,wf,07,05,ZAF.lo.ambi.bare.wf.07,ZAF.lo.ambi.bare.wf.07.05
ZAF,lo,7,1,6,euppul,ambi,bare,wf,07,06,ZAF.lo.ambi.bare.wf.07,ZAF.lo.ambi.bare.wf.07.06
ZAF,lo,7,1,7,scinat,ambi,bare,wf,07,07,ZAF.lo.ambi.bare.wf.07,ZAF.lo.ambi.bare.wf.07.07
ZAF,lo,7,1,8,melner,ambi,bare,wf,07,08,ZAF.lo.ambi.bare.wf.07,ZAF.lo.ambi.bare.wf.07.08
ZAF,lo,7,1,9,knilin,ambi,bare,wf,07,09,ZAF.lo.ambi.bare.wf.07,ZAF.lo.ambi.bare.wf.07.09
ZAF,lo,7,1,10,leuser,ambi,bare,wf,07,10,ZAF.lo.ambi.bare.wf.07,ZAF.lo.ambi.bare.wf.07.10
ZAF,lo,7,1,11,eracap,ambi,bare,wf,07,11,ZAF.lo.ambi.bare.wf.07,ZAF.lo.ambi.bare.wf.07.11
ZAF,lo,7,1,12,eupcla,ambi,bare,wf,07,12,ZAF.lo.ambi.bare.wf.07,ZAF.lo.ambi.bare.wf.07.12
ZAF,lo,7,2,1,arijuc,ambi,vege,wf,07,01,ZAF.lo.ambi.vege.wf.07,ZAF.lo.ambi.vege.wf.07.01
ZAF,lo,7,2,2,cotorb,ambi,vege,wf,07,02,ZAF.lo.ambi.vege.wf.07,ZAF.lo.ambi.vege.wf.07.02
ZAF,lo,7,2,3,cotpan,ambi,vege,wf,07,03,ZAF.lo.ambi.vege.wf.07,ZAF.lo.ambi.vege.wf.07.03
ZAF,lo,7,2,4,knilin,ambi,vege,wf,07,04,ZAF.lo.ambi.vege.wf.07,ZAF.lo.ambi.vege.wf.07.04
ZAF,lo,7,2,5,diepau,ambi,vege,wf,07,05,ZAF.lo.ambi.vege.wf.07,ZAF.lo.ambi.vege.wf.07.05
ZAF,lo,7,2,6,melner,ambi,vege,wf,07,06,ZAF.lo.ambi.vege.wf.07,ZAF.lo.ambi.vege.wf.07.06
ZAF,lo,7,2,7,eupcla,ambi,vege,wf,07,07,ZAF.lo.ambi.vege.wf.07,ZAF.lo.ambi.vege.wf.07.07
ZAF,lo,7,2,8,diepau,ambi,vege,wf,07,08,ZAF.lo.ambi.vege.wf.07,ZAF.lo.ambi.vege.wf.07.08
ZAF,lo,7,2,9,eracap,ambi,vege,wf,07,09,ZAF.lo.ambi.vege.wf.07,ZAF.lo.ambi.vege.wf.07.09
ZAF,lo,7,2,10,Crinum,ambi,vege,wf,07,10,ZAF.lo.ambi.vege.wf.07,ZAF.lo.ambi.vege.wf.07.10
ZAF,lo,7,2,11,alomac,ambi,vege,wf,07,11,ZAF.lo.ambi.vege.wf.07,ZAF.lo.ambi.vege.wf.07.11
ZAF,lo,7,2,12,budlor,ambi,vege,wf,07,12,ZAF.lo.ambi.vege.wf.07,ZAF.lo.ambi.vege.wf.07.12
ZAF,lo,8,1,1,eupcla,ambi,vege,wf,08,01,ZAF.lo.ambi.vege.wf.08,ZAF.lo.ambi.vege.wf.08.01
ZAF,lo,8,1,2,cotpan,ambi,vege,wf,08,02,ZAF.lo.ambi.vege.wf.08,ZAF.lo.ambi.vege.wf.08.02
ZAF,lo,8,1,3,arijuc,ambi,vege,wf,08,03,ZAF.lo.ambi.vege.wf.08,ZAF.lo.ambi.vege.wf.08.03
ZAF,lo,8,1,4,diepau,ambi,vege,wf,08,04,ZAF.lo.ambi.vege.wf.08,ZAF.lo.ambi.vege.wf.08.04
ZAF,lo,8,1,5,euppul,ambi,vege,wf,08,05,ZAF.lo.ambi.vege.wf.08,ZAF.lo.ambi.vege.wf.08.05
ZAF,lo,8,1,6,cotpan ,ambi,vege,wf,08,06,ZAF.lo.ambi.vege.wf.08,ZAF.lo.ambi.vege.wf.08.06
ZAF,lo,8,1,7, Crinum,ambi,vege,wf,08,07,ZAF.lo.ambi.vege.wf.08,ZAF.lo.ambi.vege.wf.08.07
ZAF,lo,8,1,8,melner,ambi,vege,wf,08,08,ZAF.lo.ambi.vege.wf.08,ZAF.lo.ambi.vege.wf.08.08
ZAF,lo,8,1,9,eracap,ambi,vege,wf,08,09,ZAF.lo.ambi.vege.wf.08,ZAF.lo.ambi.vege.wf.08.09
ZAF,lo,8,1,10,watsoc,ambi,vege,wf,08,10,ZAF.lo.ambi.vege.wf.08,ZAF.lo.ambi.vege.wf.08.10
ZAF,lo,8,1,11,alomac,ambi,vege,wf,08,11,ZAF.lo.ambi.vege.wf.08,ZAF.lo.ambi.vege.wf.08.11
ZAF,lo,8,1,12,budsal,ambi,vege,wf,08,12,ZAF.lo.ambi.vege.wf.08,ZAF.lo.ambi.vege.wf.08.12
ZAF,lo,8,2,1,cotorb,ambi,bare,wf,08,01,ZAF.lo.ambi.bare.wf.08,ZAF.lo.ambi.bare.wf.08.01
ZAF,lo,8,2,2,rosrub,ambi,bare,wf,08,02,ZAF.lo.ambi.bare.wf.08,ZAF.lo.ambi.bare.wf.08.02
ZAF,lo,8,2,3,arijuc,ambi,bare,wf,08,03,ZAF.lo.ambi.bare.wf.08,ZAF.lo.ambi.bare.wf.08.03
